BabyName, Gender 
Bhavya,'girl
Mahi,'girl
Yash,'boy
Dhanvi,'girl
Sanvi,'girl
Yana,'girl
Aarv,'boy
Nyra,'girl
Kaira,'girl
Abhi,'boy
Ahan,'boy
Zara,'girl
Ahil,'boy
Sana,'girl
Aifa,'girl
Sara,'girl
Zain,'boy
Afia,'girl
Ayan,'boy
Rian,'boy
Amir,'boy
Shakeel,'boy
Kiah,'girl
Taneesha,'girl
Jovita,'girl
Jovan,'boy
Zahra,'girl
Niesha,'girl
Samir,'boy
Bashir,'boy
Adelyn,'girl
Abhi,'boy
Jamilla,'girl
Riya,'girl
Vihan,'boy
Jamilah,'girl
Kaveh,'boy
Kavya,'girl
Arianna,'girl
Dino,'boy
Rihan,'boy
Aslin,'girl
Agnes,'girl
Aaron,'boy
Syon,'boy
Joel,'boy
Anne,'girl
Savi,'girl
Shanaya,'girl
Kevin,'boy
Sary,'girl
Sanvi,'girl
Kara,'girl
Sana,'girl
Alin,'boy
Aric,'boy
Tanya,'girl
Rihan,'boy
Sonu,'boy
Ahaan,'boy
Aron,'boy
Alexandra,'girl
Farid,'boy
Rehan,'boy
Zena,'girl
Camille,'girl
Anouk,'girl
Anna,'girl
Ruben,'boy
Zara,'girl
Emily,'girl
Habib,'boy
Alina,'girl
Raja,'girl
Siri,'girl
Prachi,'girl
Rami,'boy
Sara,'girl
Sita,'girl
Maan,'boy
